idParroquia;nombreParroquia;idCanton
071350;ZARUMA, CABECERA CANTONAL;0713
010167;SININCAY;0101
050104;LA MATRIZ;0501
120501;QUEVEDO, CABECERA CANTONAL;1205
130658;PUERTO DE CAYO;1306
131453;CHARAPOTÓ;1314
070250;ARENILLAS, CABECERA CANTONAL;0702
010353;JADÁN;0103
100104;SAN FRANCISCO;1001
100302;SAN FRANCISCO;1003
180150;AMBATO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;1801
210150;NUEVA LOJA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;2101
030356;INGAPIRCA;0303
010156;LLACAO;0101
030350;CAÑAR, CABECERA CANTONAL;0303
030650;DELEG, CAB CANTONAL;0306
030550;EL TAMBO, CABECERA CANTONAL;0305
010452;EL PROGRESO (CAB. EN ZHOTA);0104
010160;PACCHA;0101
070350;PACCHA;0703
010562;DUG DUG;0105
020450;ECHEANDÍA, CABECERA CANTONAL;0204
091050;MILAGRO, CABECERA CANTONAL;0910
020160;SAN LUIS DE PAMBIL;0201
060150;RIOBAMBA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;0601
210250;EL DORADO DE CASCALES;2102
210650;EL DORADO DE CASCALES;2106
020102;GABRIEL IGNACIO VEINTIMILLA;0201
020350;SAN JOSÉ DE CHIMBO, CABECERA CANTONAL;0203
020150;GUARANDA, CABECERA CANTONAL, CAPITAL PROVINCIAL;0201
020650;CALUMA, CABECERA CANTONAL;0206
140450;PALORA (METZERA), CABECERA CANTONAL;1404
220450;LORETO, CABECERA CANTONAL;2204
080850;LA CONCORDIA, CABECERA CANTONAL;0808
200251;TOMÁS DE BERLANGA (SANTO TOMÁS);2002
170155;CALDERÓN (CARAPUNGO);1701
020103;GUANUJO;0201
130106;ANDRÉS DE VERA;1301
080650;ATACAMES, CABECERA CANTONAL;0806
132251;CANOA;1322
131451;CANOA;1314
170355;MANUEL CORNEJO ASTORGA (TANDAPI);1703
150157;TÁLAG;1501
170350;MACHACHI, CABECERA CANTONAL;1703
111250;SOZORANGA (CAB. CANTONAL);1112
071050;PIÑAS, CABECERA CANTONAL;0710
050161;TANICUCHÍ;0501
020550;SAN MIGUEL, CABECERA CANTONAL;0205
230102;BOMBOLÍ;2301
150151;AHUANO;1501
020551;BALSAPAMBA;0205
020702;LAS NAVES (RURAL);0207
100156;SALINAS;1001
020155;SALINAS;0201
180250;BAÑOS DE AGUA SANTA, CABECERA CANTONAL;1802
020250;CHILLANES;0202
050150;LATACUNGA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;0501
060101;LIZARZABURU;0601
230107;ZARACAY;2301
080103;ESMERALDAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL;0801
070950;PASAJE, CABECERA CANTONAL;0709
050101;ELOY ALFARO  (SAN FELIPE) ;0501
030363;DUCUR;0303
091150;NARANJAL, CABECERA CANTONAL;0911
100103;SAGRARIO;1001
100301;SAGRARIO;1003
030153;GUAPAN;0301
200150;PUERTO BAQUERIZO MORENO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;2001
141150;PABLO SEXTO, CABECERA CANTONAL;1411
030103;BORRERO;0301
111150;SARAGURO, CABECERA CANTONAL;1111
160251;MADRE TIERRA;1602
190553;LOS ENCUENTROS;1905
240301;CARLOS ESPINOZA LARREA;2403
030155;LUIS CORDERO;0301
110350;CATAMAYO (LA TOMA), CABECERA CANTONAL;1103
240250;LA LIBERTAD, CABECERA CANTONAL;2402
030750;SUSCAL, CABECERA CANTONAL;0307
030361;ZHUD;0303
091250;NARANJITO, CABECERA CANTONAL;0912
090703;DIVINO NIÑO;0907
040501;GONZÁLEZ SUÁREZ;0405
040101;GONZÁLEZ SUÁREZ;0401
080455;LA UNION;0804
130902;MONTECRISTI;1309
040102;TULCÁN, CABECERA CANTONAL Y CAPITAL PROVINCIAL;0401
100354;PEÑAHERRERA;1003
170751;MINDO;1707
100655;TUMBABIRO;1006
210350;PUERTO EL CARMEN DEL PUTUMAYO, CABECERA CANTONAL;2103
040650;HUACA, CABECERA CANTONAL;0406
040554;LA PAZ;0405
100401;JORDÁN;1004
100151;AMBUQUÍ;1001
170172;PACTO;1701
100650;URCUQUÍ, CABECERA CANTONAL;1006
100150;SAN MIGUEL DE IBARRA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;1001
100350;COTACACHI, CABECERA CANTONAL;1003
100202;ATUNTAQUI, CABECERA CANTONAL;1002
040153;JULIO ANDRADE (OREJUELA);0401
100450;OTAVALO, CABECERA CANTONAL;1004
210158;SANTA CECILIA;2101
230103;CHIGUILPE;2301
040350;EL ANGEL (CABECERA CANTONAL);0403
210550;LA BONITA;2105
170356;TAMBILLO;1703
050103;JUAN MONTALVO (SAN SEBASTIÁN);0501
050750;SIGCHOS, CABECERA CANTONAL;0507
050202;LA MANÁ, CABECERA CANTONAL;0502
050450;PUJILÍ, CABECERA CANTONAL;0504
180253;BAÑOS DE AGUA SANTA;1802
230105;RÍO VERDE;2301
050350;EL CORAZÓN, CABECERA CANTONAL;0503
050457;TINGO;0504
170750;SAN MIGUEL DE LOS BANCOS, CABECERA CANTONAL;1707
050156;MULALÓ;0501
150753;PAPALLACTA;1507
180108;PISHILATA;1801
050458;ZUMBAHUA;0504
080550;SAN LORENZO, CABECERA CANTONAL;0805
180156;IZAMBA;1801
150750;BAEZA, CABECERA CANTONAL;1507
170353;CUTUGLAHUA;1703
090103;CARBO (CONCEPCIÓN);0901
050751;CHUGCHILLÁN;0507
050159;SAN JUAN DE PASTOCALLE;0501
050102;IGNACIO FLORES (PARQUE FLORES) ;0501
050105;SAN BUENAVENTURA;0501
080101;BARTOLOMÉ RUIZ (CÉSAR FRANCO CARRIÓN) ;0801
180254;ULBA;1802
050650;SAQUISILÍ, CABECERA CANTONAL;0506
180101;ATOCHA – FICOA;1801
210352;PUERTO BOLÍVAR (PUERTO MONTÚFAR);2103
170185;YARUQUÍ;1701
170160;EL QUINCHE;1701
180104;HUACHI LORETO;1801
050151;ALAQUEZ (ALAQUES);0501
210750;TARAPOA , CABECERA CANTONAL;2107
050203;EL TRIUNFO;0502
050554;MULLIQUINDIL (SANTA ANA);0505
170180;SAN ANTONIO;1701
100157;SAN ANTONIO;1001
170175;PIFO;1701
060650;GUAMOTE, CABECERA CANTONAL;0606
180252;RÍO NEGRO;1802
180650;QUERO, CABECERA CANTONAL;1806
050152;BELISARIO QUEVEDO (GUANAILIN);0501
190552;EL PANGUI, CABECERA CANTONAL;1905
220254;TIPUTINI;2202
100253;SAN JOSÉ DE CHALTURA;1002
050162;TOACASO;0501
170165;LLANO CHICO;1701
180160;PICAIGUA;1801
060450;CHAMBO, CAB CANTONAL;0604
170163;GUAYLLABAMBA;1701
060250;ALAUSÍ, CABECERA CANTONAL;0602
060301;CAJABAMBA;0603
060754;SAN ANDRES;0607
071257;BELLAMARIA;0712
060651;CEBADAS;0606
060351;CAÑI;0603
040154;MALDONADO;0401
132050;JAMA, CABECERA CANTONAL;1320
060104;VELOZ;0601
180158;MONTALVO;1801
170183;TABABELA;1701
130102;12 DE MARZO;1301
060350;VILLA LA UNION (CAJABAMBA) (CABECERA CANTONAL);0603
131401;BAHÍA DE CARÁQUEZ, CABECERA CANTONAL;1314
160250;MERA;1602
061050;CUMANDÁ, CABECERA CANTONAL;0610
160252;SHELL;1602
070702;EL PARAÍSO;0707
071452;EL PARAÍSO;0714
060550;CHUNCHI, CABECERA CANTONAL;0605
180105;LA MERCED;1801
170164;LA MERCED;1701
060850;PALLATANGA, CABECERA CANTONAL;0608
060353;JUAN DE VELASCO (PANGOR);0603
220250;NUEVO ROCAFUERTE;2202
170176;PINTAG;1701
240102;SANTA ELENA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;2401
060750;GUANO, CABECERA CANTONAL;0607
200351;BELLA VISTA;2003
170179;PUEMBO;1701
060105;YARUQUÍES;0601
050555;PANSALEO;0505
